SN_NO,Food_Name,Price
0,Afghani Chicken,259
1,Grilled Chicken,249
2,Chettinad Chicken Masala,196
3,Kaadai Chicken,193
4,Dal Fry,98
5,Plain Biryani,125
6,Chicken Fried Rice + Chilly Chicken + Coke,379
7,2 - Chicken Fried Rice + Coke,369
8,Chicken Fried Rice + Chicken Briyani + Coke,379
9,2- Chicken Briyani+coke,379
10,Egg Omlette,30
11,Masala(parupu) Vadai,18
12,Medhu Vadai 1pc,15
13,Onion Podi Dhosa,70
14,Egg Dhosai,60
15,Podii Dhosa,60
16,Onion Dhosa,60
17,Egg Oothapam,49
18,Ghee Oothapam(plain),53
19,Podi Oothapam,43
20,Onion Podi Oothapam,63
21,Onion Oothapam,55
22,Pongal,45
23,Poori(2pcs),49
24,Set Dhosa,49
25,Plain Dhosa,50
26,Butter Naan(4pcs) + Panner Butter Masala(half),198
27,Parrotta(3pcs) + Chicken Curry(half),193
28,Chicken Fried Rice(half) + Tandoori Qtr,239
29,Chicken Meals,169
30,Chettinad Meals,189
31,Podi Dhosa,60
32,Onion Oothappam,55
33,Set Dhosa(2pcs),49
34,Plain Dosa,50
35,Masala Dosa,60
36,Onion Dosa,60
37,Egg Dosa,60
38,Omelette,30
39,Kalaki,30
40,Egg Podimas,60
41, Boiled Egg,25
42,Egg Lapa,110
43,Chicken Lappa,149
44,Chicken Fry,176
45,Nethili Fry,140
46,Prawn Fry,183
47,Mushroom Soup,70
48,Lung Fung Soup,70
49,Manchow Soup,75
50,French Onion Soup,75
51,Hong Kong Soup,80
52,Sour & Pepper Soup,80
53,Manchow Soup Chicken,93
54,Chicken Clear Soup,93
55,Chicken Hot Sour Soup,93
56,Chicken Pepper Soup,98
57,Aloo Tikka,120
58,Paneer Tikka,190
59,Chicken Tikka,249
60,Reshmi Kebab,249
61,Tangdi Kebab (2 Pcs),190
62,Tandoori Lollipop,229
63,Tandoori Chicken,249
64,Tandoori Chilli Chicken ,249
65,Kalmi Kebab,249
66,Hariyali Kebab,249
67,Malai Kebab,249
68,Chicken Kali Mirch,249
69,Chicken Achari,249
70,Afghani Chicken,259
71,Chicken Seekh Kebab,249
72,Grilled Chicken,249
73,Quarter Grilled Chicken,135
74,Tandoori Quarter,135
75,Gobi Masala,123
76,Aloo Gobi Masala,133
77,Mixed Veg Curry,144
78,Paneer Butter Masala,144
79,Green Peas Masala,110
80,Mushroom Masala,133
81,Aloo Masala,115
